valor,pais_origem,pais_destino,hora,historico,risco
171697,China,China,18,ruim,medio
123197,Brasil,Nigéria,7,ruim,medio
12431,Alemanha,Brasil,6,bom,medio
291331,Brasil,Nigéria,2,ruim,medio
345144,China,Brasil,2,medio,medio
806863,Nigéria,Brasil,14,medio,alto
761,Alemanha,Nigéria,9,bom,baixo
1523,Brasil,Nigéria,6,bom,baixo
43159,Alemanha,China,12,medio,medio
176461,China,Brasil,22,medio,medio
2541,Alemanha,Nigéria,2,bom,baixo
183698,Alemanha,Nigéria,15,ruim,medio
9698,Alemanha,Brasil,18,bom,medio
237692,Alemanha,Nigéria,9,medio,medio
110101,EUA,China,22,ruim,medio
135249,China,EUA,13,medio,medio
214124,Alemanha,EUA,14,medio,medio
39995,Nigéria,Nigéria,3,medio,medio
2706,China,Alemanha,1,bom,baixo
31009,EUA,Alemanha,0,bom,medio
143484,EUA,Alemanha,18,ruim,medio
29529,China,Alemanha,22,ruim,medio
13507,EUA,Alemanha,19,bom,medio
127498,Brasil,Alemanha,19,ruim,medio
105095,EUA,Nigéria,11,medio,medio
7204,EUA,China,5,bom,medio
62337,China,Alemanha,6,ruim,medio
117647,Alemanha,Brasil,8,ruim,medio
217551,Brasil,EUA,23,ruim,medio
136394,Brasil,China,16,medio,medio
4224,Alemanha,Brasil,12,bom,medio
7925,Brasil,Brasil,10,bom,medio
9118,Alemanha,Brasil,18,bom,medio
6638,Alemanha,Alemanha,0,bom,medio
2028585,Brasil,Nigéria,7,medio,medio
261320,Alemanha,Alemanha,3,medio,medio
155304,Alemanha,Nigéria,10,medio,medio
168519,Brasil,Alemanha,5,medio,medio
109435,China,Alemanha,1,medio,medio
582,Nigéria,Nigéria,19,bom,baixo
156493,Nigéria,Brasil,16,medio,medio
10643,EUA,China,15,bom,medio
50111,Brasil,China,13,medio,medio
114531,Nigéria,Brasil,1,ruim,medio
242746,Nigéria,Nigéria,21,medio,medio
12467,EUA,EUA,21,bom,medio
30729,Brasil,China,9,bom,medio
11600,Nigéria,EUA,17,bom,medio
128566,Brasil,EUA,2,medio,medio
82742,Nigéria,Alemanha,23,ruim,medio
5621,Brasil,Nigéria,16,medio,medio
10692,Brasil,EUA,2,bom,medio
127048,China,China,12,medio,medio
31580,Alemanha,China,22,medio,medio
59782,Brasil,Alemanha,8,bom,medio
10452,China,Brasil,13,bom,medio
32724,Brasil,China,9,bom,medio
43209,China,China,19,medio,medio
614,Alemanha,Nigéria,12,bom,baixo
6345,China,Alemanha,16,bom,medio
273503,EUA,Alemanha,15,medio,medio
221794,Brasil,China,18,ruim,medio
2588,China,Brasil,2,bom,baixo
60606,EUA,Nigéria,18,medio,medio
201007,China,Alemanha,11,medio,medio
139877,Alemanha,EUA,4,ruim,medio
11627,China,EUA,12,medio,medio
122426,Nigéria,Alemanha,1,medio,medio
275609,Alemanha,Nigéria,10,medio,medio
194396,China,Brasil,15,medio,medio
33077,EUA,EUA,5,medio,medio
3873,China,Nigéria,21,bom,baixo
328218,Nigéria,Brasil,20,ruim,medio
83493,Brasil,Nigéria,5,medio,medio
36862,China,Nigéria,20,bom,medio
376550,Alemanha,Alemanha,16,ruim,medio
6905,Brasil,Brasil,15,bom,medio
269030,Alemanha,Brasil,7,ruim,medio
242891,China,Nigéria,16,medio,medio
233144,Alemanha,China,2,medio,medio
64851,Nigéria,EUA,11,ruim,medio
307084,Alemanha,Nigéria,5,ruim,medio
9426,Alemanha,EUA,10,ruim,medio
90730,Nigéria,Alemanha,23,medio,medio
11756,EUA,EUA,11,medio,medio
241110,Alemanha,China,11,medio,medio
102963,EUA,Brasil,17,medio,medio
22813,EUA,Alemanha,7,ruim,medio
122320,Alemanha,EUA,2,medio,medio
225604,Brasil,China,21,medio,medio
36831,China,Brasil,11,ruim,medio
56418,China,Nigéria,12,ruim,medio
249617,Brasil,China,8,ruim,medio
104826,Alemanha,Brasil,2,medio,medio
382764,China,China,1,ruim,medio
79906,China,China,19,medio,medio
8965,EUA,EUA,17,bom,medio
71366,Nigéria,Brasil,21,medio,medio
1878,Nigéria,China,6,bom,baixo
89610,China,Nigéria,20,medio,medio
6181,Alemanha,China,16,bom,medio
104686,China,Alemanha,1,ruim,medio
88115,China,China,14,medio,medio
28360,EUA,Brasil,6,medio,medio
213617,China,China,16,medio,medio
22663,Alemanha,Nigéria,11,bom,medio
26466,Brasil,China,4,medio,medio
306082,EUA,Alemanha,19,medio,medio
1432,Brasil,Nigéria,3,bom,baixo
1130873,EUA,Nigéria,22,medio,medio
1356,Brasil,Alemanha,4,bom,baixo
112090,China,Nigéria,3,medio,medio
192874,Alemanha,Alemanha,7,medio,medio
151506,China,EUA,12,medio,medio
239759,Alemanha,China,4,ruim,medio
503738,Alemanha,Nigéria,9,medio,medio
36418,Nigéria,Brasil,8,bom,medio
319441,Brasil,Brasil,4,medio,medio
186125,Brasil,China,0,medio,medio
62846,Alemanha,Brasil,4,medio,medio
840454,China,EUA,8,medio,medio
82504,China,EUA,3,medio,medio
20751,China,Nigéria,7,bom,medio
140067,EUA,Brasil,13,medio,medio
48899,EUA,China,19,medio,medio
2120611,Brasil,China,4,medio,medio
113961,Alemanha,Alemanha,8,ruim,medio
177936,Alemanha,China,14,ruim,medio
116528,Nigéria,Nigéria,17,ruim,medio
117174,EUA,China,15,medio,medio
9031,Alemanha,Brasil,4,bom,medio
284181,EUA,China,0,medio,medio
5151,Alemanha,Brasil,2,bom,medio
4953893,Nigéria,Brasil,15,medio,alto
77368,EUA,Alemanha,0,ruim,medio
325033,Alemanha,Brasil,7,medio,medio
8881,Nigéria,China,21,bom,medio
369241,Nigéria,EUA,22,medio,medio
1067740,China,China,5,medio,medio
51688,China,Brasil,3,medio,medio
86892,China,Brasil,16,medio,medio
13573,Brasil,Alemanha,4,bom,medio
119043,Alemanha,Alemanha,17,medio,medio
118525,Nigéria,China,1,ruim,medio
165732,EUA,Brasil,6,ruim,medio
154185,Brasil,Brasil,4,medio,medio
390323,Nigéria,China,5,medio,medio
3427,Alemanha,EUA,11,bom,baixo
11116,Nigéria,EUA,14,bom,medio
8647,Alemanha,EUA,23,bom,medio
4218,China,EUA,2,bom,medio
9341,Alemanha,Nigéria,1,bom,medio
11314,Alemanha,Nigéria,23,bom,medio
73443,China,Brasil,20,medio,medio
52649,Nigéria,EUA,7,medio,medio
28867,Brasil,EUA,17,bom,medio
350862,Nigéria,China,23,medio,medio
4001,China,Brasil,8,bom,medio
1313,China,China,12,bom,baixo
70,Nigéria,Brasil,0,bom,baixo
96828,Brasil,Alemanha,15,ruim,medio
258101,Nigéria,EUA,23,ruim,medio
114661,Brasil,Brasil,0,ruim,medio
11375,China,Nigéria,16,bom,medio
15561,Alemanha,Alemanha,7,bom,medio
88397,EUA,Brasil,0,medio,medio
203214,Nigéria,Brasil,23,ruim,medio
869,Brasil,Nigéria,14,bom,baixo
74943,Alemanha,China,10,medio,medio
483817,EUA,China,15,medio,medio
321880,Alemanha,Nigéria,5,medio,medio
16087,China,Alemanha,20,bom,medio
377484,Alemanha,Brasil,11,medio,medio
1850,EUA,China,11,bom,baixo
336369,Nigéria,Alemanha,3,medio,medio
6055,Nigéria,Nigéria,1,bom,medio
321702,Nigéria,China,19,medio,medio
221,China,EUA,7,ruim,baixo
425051,EUA,China,6,medio,medio
27683,EUA,EUA,14,bom,medio
104435,Nigéria,China,20,medio,medio
13095,Nigéria,Brasil,11,bom,medio
35855,Alemanha,Alemanha,8,bom,medio
236545,China,Brasil,0,ruim,medio
149526,Alemanha,Nigéria,0,ruim,medio
65376,Alemanha,Alemanha,7,ruim,medio
23661,Nigéria,Alemanha,5,bom,medio
137825,Nigéria,EUA,23,medio,medio
440777,Nigéria,EUA,20,medio,medio
246608,Alemanha,Alemanha,2,ruim,medio
264161,China,China,13,ruim,medio
160459,EUA,Brasil,18,medio,medio
71022,Alemanha,Alemanha,21,medio,medio
8342,Nigéria,Brasil,13,bom,medio
36155,Alemanha,Nigéria,16,bom,medio
7473,China,Alemanha,3,bom,medio
32196,Nigéria,EUA,17,medio,medio
273748,Alemanha,China,21,ruim,medio
131718,China,Nigéria,15,medio,medio
55698,Brasil,Nigéria,2,medio,medio
348275,China,China,5,medio,medio
12355,Nigéria,Nigéria,0,bom,medio
14868,Alemanha,Alemanha,1,bom,medio
7456,Brasil,EUA,0,bom,medio
1592411,Brasil,Nigéria,19,medio,medio
92790,EUA,Alemanha,10,ruim,medio
1873,Alemanha,Brasil,5,bom,baixo
204681,China,China,12,medio,medio
73107,EUA,EUA,6,medio,medio
2612,China,Brasil,8,bom,baixo
4786,EUA,Brasil,0,bom,medio
7033,Brasil,Alemanha,21,bom,medio
312727,Alemanha,Alemanha,15,ruim,medio
25301,Nigéria,EUA,19,medio,medio
2880,China,Brasil,1,bom,baixo
772296,EUA,Alemanha,20,medio,medio
43550,EUA,EUA,10,ruim,medio
27302,EUA,China,0,bom,medio
4850,EUA,Alemanha,21,bom,medio
19240,Brasil,EUA,6,bom,medio
5183,Alemanha,EUA,22,bom,medio
195574,Brasil,Nigéria,13,ruim,medio
176174,EUA,EUA,19,medio,medio
9574,EUA,Nigéria,7,bom,medio
323378,Alemanha,China,1,medio,medio
65349,Alemanha,Brasil,2,ruim,medio
323763,Nigéria,Brasil,1,ruim,medio
139768,EUA,Nigéria,5,medio,medio
6817,Brasil,China,21,bom,medio
33831,Nigéria,Alemanha,8,medio,medio
3905,EUA,China,23,bom,baixo
126133,Nigéria,Nigéria,18,medio,medio
29712,Nigéria,China,21,medio,medio
19,Brasil,EUA,6,bom,baixo
343027,EUA,Alemanha,9,medio,medio
11300,EUA,China,19,bom,medio
4007,Alemanha,EUA,11,bom,medio
91410,Nigéria,China,10,ruim,medio
38293,China,EUA,12,bom,medio
18857,EUA,Brasil,16,bom,medio
748775,Brasil,Nigéria,13,medio,medio
6202,Nigéria,Alemanha,19,bom,medio
62387,EUA,Brasil,16,bom,medio
217348,China,EUA,17,ruim,medio
107072,Nigéria,China,19,medio,medio
706,Alemanha,Brasil,20,bom,baixo
63720,Brasil,Alemanha,15,ruim,medio
18482,Brasil,Brasil,5,bom,medio
41392,Brasil,Brasil,0,medio,medio
110556,EUA,Alemanha,4,medio,medio
3101,Brasil,Nigéria,17,bom,baixo
209835,Nigéria,China,2,medio,medio
37228,Alemanha,Brasil,0,bom,medio
8717,EUA,Nigéria,11,bom,medio
82639,Brasil,Nigéria,23,medio,medio
2629,Brasil,Brasil,5,bom,baixo
10968,China,Nigéria,13,bom,medio
143777,Nigéria,Brasil,6,medio,medio
21527,Brasil,EUA,16,bom,medio
279516,EUA,China,3,medio,medio
661,Brasil,Brasil,3,bom,baixo
3393,EUA,Alemanha,5,bom,baixo
102320,Nigéria,China,11,ruim,medio
144550,China,Nigéria,12,ruim,medio
168916,Brasil,China,11,ruim,medio
